Updated Paths Log:
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/Transmission-1024x683.jpg | New: wp-content/uploads/2021/08/Transmission-1024x683.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/Distribution-1024x683.jpg | New: wp-content/uploads/2021/08/Distribution-1024x683.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/10/Pottersville-003-2-683x1024.jpg | New: wp-content/uploads/2021/10/Pottersville-003-2-683x1024.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/Commercial_Industrial-1024x683.jpg | New: wp-content/uploads/2021/08/Commercial_Industrial-1024x683.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/Transportation-1024x576.jpg | New: wp-content/uploads/2021/08/Transportation-1024x576.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/Renewables.jpg | New: wp-content/uploads/2021/08/Renewables.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/Emergency-1024x768.jpg | New: wp-content/uploads/2021/08/Emergency-1024x768.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/MYRGroup-Project-Battle-Mountain-Solar.jpg | New: wp-content/uploads/2021/08/MYRGroup-Project-Battle-Mountain-Solar.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/10/Venice-to-Campbell-River-Crossing-54-2.jpg | New: wp-content/uploads/2021/10/Venice-to-Campbell-River-Crossing-54-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/10/Jim-Bridger-Part2-3-1513x1600.jpg | New: wp-content/uploads/2021/10/Jim-Bridger-Part2-3-1513x1600.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/MYRGroup-Project-Colby-Athletic-Center.jpg | New: wp-content/uploads/2021/08/MYRGroup-Project-Colby-Athletic-Center.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/MYRGroup-Project-Edmonton-Valley-LRT.jpg | New: wp-content/uploads/2021/08/MYRGroup-Project-Edmonton-Valley-LRT.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/08/MYRGroup-Project-SECO-Storm-Work-Midwest.jpg | New: wp-content/uploads/2021/08/MYRGroup-Project-SECO-Storm-Work-Midwest.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/10/Safety-Iron-Mtn-2.jpg | New: wp-content/uploads/2021/10/Safety-Iron-Mtn-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/10/Sustainable-Future-2.jpg | New: wp-content/uploads/2021/10/Sustainable-Future-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2021/10/Subsidiaries-Battle-Mtn-2.jpg | New: wp-content/uploads/2021/10/Subsidiaries-Battle-Mtn-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\index.html | Original: wp-content/uploads/2023/11/high_country_line_bakersfield_big_hill_hclc-3_52739168336_o.jpg | New: wp-content/uploads/2023/11/high_country_line_bakersfield_big_hill_hclc-3_52739168336_o.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: wp-content/uploads/2021/10/C:/Users/usama/OneDrive/Desktop/EXI 3/exiinc.comwp-content/uploads/2021/10/Header-Hero-I70Project-2.jpg | New: wp-content/uploads/2021/10/C:/Users/usama/OneDrive/Desktop/EXI 3/exiinc.comwp-content/uploads/2021/10/Header-Hero-I70Project-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/arrow-down.svg | New: ..wp-content/uploads/2021/08/arrow-down.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/11/Leader-In-Construction-Anetelope-Juniper-2.jpg | New: ..wp-content/uploads/2021/11/Leader-In-Construction-Anetelope-Juniper-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/10/Our-Subsidiaries-South-Station-005-2.jpg | New: ..wp-content/uploads/2021/10/Our-Subsidiaries-South-Station-005-2.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/11/Hurricane-Ida-16.jpg | New: ..wp-content/uploads/2021/11/Hurricane-Ida-16.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/10/Mission-Vision-Values-4-1600x1415.jpg | New: ..wp-content/uploads/2021/10/Mission-Vision-Values-4-1600x1415.jpg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_safety.svg | New: ..wp-content/uploads/2021/08/icons_safety.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_respect.svg | New: ..wp-content/uploads/2021/08/icons_respect.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_responsiveness.svg | New: ..wp-content/uploads/2021/08/icons_responsiveness.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_creativity.svg | New: ..wp-content/uploads/2021/08/icons_creativity.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_integriy.svg | New: ..wp-content/uploads/2021/08/icons_integriy.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_initiative.svg | New: ..wp-content/uploads/2021/08/icons_initiative.svg
HTML File: C:\Users\usama\OneDrive\Desktop\EXI 3\exiinc.com\about\index.html | Original: ..wp-content/uploads/2021/08/icons_teamwork.svg | New: ..wp-content/uploads/2021/08/icons_teamwork.svg
